qtr,clock,playerid,playername,passing_yds,rushing_yds,receiving_yds,receiving_rec,passing_tds,rushing_tds,receiving_tds
1,07:08,00-0031291,J.Wright,0,0,8,1,0,0,0
1,07:04,00-0030656,I.Crowell,0,35,0,0,0,0,0
1,07:03,00-0029668,A.Luck,13,0,0,0,0,0,0
1,07:03,00-0020498,R.Wayne,0,0,13,1,0,0,0
1,07:02,00-0022803,E.Manning,19,0,0,0,1,0,0
1,07:02,00-0028838,L.Donnell,0,0,19,1,0,0,1
1,06:57,00-0027864,Ry.Mathews,0,1,0,0,0,0,0
1,06:54,00-0023500,F.Gore,0,5,0,0,0,0,0
1,06:54,00-0031390,C.Sims,0,-2,0,0,0,0,0
1,06:49,00-0024226,J.Cutler,7,0,0,0,0,0,0
1,06:49,00-0029137,A.Jeffery,0,0,7,1,0,0,0
1,06:45,00-0031301,J.Hill,0,2,0,0,0,0,0
1,06:43,00-0031391,T.Mason,0,4,0,0,0,0,0
1,06:38,00-0023436,A.Smith,9,0,0,0,0,0,0
1,06:38,00-0030506,T.Kelce,0,0,9,1,0,0,0
1,06:35,00-0023541,K.Orton,9,0,0,0,0,0,0
1,06:35,00-0030431,R.Woods,0,0,9,1,0,0,0
1,06:32,00-0027939,C.Newton,0,3,0,0,0,0,0
1,06:32,00-0029668,A.Luck,46,0,0,0,0,0,0
1,06:32,00-0020498,R.Wayne,0,0,46,1,0,0,0
1,06:30,00-0026625,B.Hoyer,12,0,0,0,0,0,0
1,06:30,00-0027918,A.Hawkins,0,0,12,1,0,0,0
1,06:18,00-0022942,P.Rivers,8,0,0,0,0,0,0
1,06:18,00-0030279,K.Allen,0,0,8,1,0,0,0
1,06:17,00-0021206,J.McCown,7,0,0,0,0,0,0
1,06:17,00-0031418,A.Seferian-Jenkins,0,0,7,1,0,0,0
1,06:13,00-0023459,A.Rodgers,1,0,0,0,0,0,0
1,06:13,00-0028002,R.Cobb,0,0,1,1,0,0,0
1,06:12,00-0025430,D.Stanton,12,0,0,0,1,0,0
1,06:12,00-0029638,M.Floyd,0,0,12,1,0,0,1
1,06:10,00-0027974,C.Kaepernick,7,0,0,0,0,0,0
1,06:10,00-0024221,V.Davis,0,0,7,1,0,0,0
1,06:06,00-0026498,M.Stafford,7,0,0,0,0,0,0
1,06:06,00-0031387,E.Ebron,0,0,7,1,0,0,0
1,06:04,00-0023541,K.Orton,5,0,0,0,0,0,0
1,06:04,00-0031325,S.Watkins,0,0,5,1,0,0,0
1,06:02,00-0031376,J.McKinnon,0,3,0,0,0,0,0
1,06:02,00-0027973,A.Dalton,13,0,0,0,0,0,0
1,06:02,00-0031301,J.Hill,0,0,13,1,0,0,0
1,06:01,00-0026625,B.Hoyer,16,0,0,0,0,0,0
1,06:01,00-0027825,J.Dray,0,0,16,1,0,0,0
1,06:01,00-0022924,B.Roethlisberger,8,0,0,0,0,0,0
1,06:01,00-0031373,M.Bryant,0,0,8,1,0,0,0
1,05:57,00-0030280,K.Davis,0,2,0,0,0,0,0
1,05:52,00-0025637,A.Bradshaw,0,3,0,0,0,0,0
1,05:49,00-0024242,D.Williams,0,3,0,0,0,0,0
1,05:40,00-0031375,T.West,0,3,0,0,0,0,0
1,05:39,00-0022942,P.Rivers,4,0,0,0,0,0,0
1,05:39,00-0026957,D.Johnson,0,0,4,1,0,0,0
1,05:34,00-0027218,J.Bell,0,33,0,0,0,0,0
1,05:31,00-0027772,A.Dixon,0,6,0,0,0,0,0
1,05:31,00-0031376,J.McKinnon,0,0,1,1,0,0,0
1,05:31,00-0031237,T.Bridgewater,1,0,0,0,0,0,0
1,05:28,00-0023459,A.Rodgers,24,0,0,0,0,0,0
1,05:28,00-0027753,A.Quarless,0,0,24,1,0,0,0
1,05:27,00-0023500,F.Gore,0,17,0,0,0,0,0
1,05:26,00-0022924,B.Roethlisberger,4,0,0,0,0,0,0
1,05:26,00-0027793,A.Brown,0,0,4,1,0,0,0
1,05:21,00-0027973,A.Dalton,6,0,0,0,0,0,0
1,05:21,00-0029632,M.Sanu,0,0,6,1,0,0,0
1,05:21,00-0029665,R.Griffin,4,0,0,0,0,0,0
1,05:21,00-0026852,D.Young,0,0,4,1,0,0,0
1,05:18,00-0026213,J.Charles,0,4,0,0,0,0,0
1,05:15,00-0029668,A.Luck,-1,0,0,0,0,0,0
1,05:15,00-0025637,A.Bradshaw,0,0,-1,1,0,0,0
1,05:12,00-0027939,C.Newton,10,0,0,0,0,0,0
1,05:12,00-0025418,G.Olsen,0,0,10,1,0,0,0
1,05:08,00-0027864,Ry.Mathews,0,5,0,0,0,0,0
1,05:05,00-0027918,A.Hawkins,0,0,0,1,0,0,0
1,05:02,00-0029854,C.Anderson,0,4,0,0,0,0,0
1,04:56,00-0030107,T.Riddick,0,2,0,0,0,0,0
1,04:48,00-0026932,C.Peerman,0,21,0,0,0,0,0
1,04:47,00-0023541,K.Orton,7,0,0,0,0,0,0
1,04:47,00-0028237,C.Hogan,0,0,7,1,0,0,0
1,04:45,00-0022924,B.Roethlisberger,23,0,0,0,0,0,0
1,04:45,00-0023465,H.Miller,0,0,23,1,0,0,0
1,04:44,00-0031237,T.Bridgewater,4,0,0,0,0,0,0
1,04:44,00-0029432,C.Ford,0,0,4,1,0,0,0
1,04:43,00-0031384,R.Rodgers,0,0,19,1,0,0,0
1,04:43,00-0023459,A.Rodgers,19,0,0,0,0,0,0
1,04:42,00-0010346,P.Manning,3,0,0,0,0,0,0
1,04:42,00-0029854,C.Anderson,0,0,3,1,0,0,0
1,04:42,00-0029141,A.Morris,0,2,0,0,0,0,0
1,04:32,00-0027864,Ry.Mathews,0,7,0,0,0,0,0
1,04:31,00-0026153,J.Stewart,0,1,0,0,0,0,0
1,04:28,00-0026213,J.Charles,0,1,0,0,0,1,0
1,04:17,00-0027218,J.Bell,0,3,0,0,0,0,0
1,04:16,00-0025399,M.Lynch,0,10,0,0,0,0,0
1,04:15,00-0030485,E.Lacy,0,10,0,0,0,0,0
1,04:14,00-0019596,T.Brady,9,0,0,0,0,0,0
1,04:14,00-0027656,R.Gronkowski,0,0,9,1,0,0,0
1,04:09,00-0027914,A.Sendejo,0,48,0,0,0,0,0
1,04:08,00-0023541,K.Orton,5,0,0,0,0,0,0
1,04:08,00-0029429,B.Brown,0,0,5,1,0,0,0
1,04:04,00-0031301,J.Hill,0,2,0,0,0,0,0
1,04:04,00-0010346,P.Manning,12,0,0,0,0,0,0
1,04:04,00-0027685,E.Sanders,0,0,12,1,0,0,0
1,04:01,00-0030496,L.Bell,0,12,0,0,0,0,0
1,03:54,00-0031045,C.Hyde,0,3,0,0,0,0,0
1,03:50,00-0029141,A.Morris,0,9,0,0,0,0,0
1,03:46,00-0028012,R.Mallett,8,0,0,0,0,0,0
1,03:46,00-0022044,A.Johnson,0,0,8,1,0,0,0
1,03:45,00-0029104,J.Gray,0,20,0,0,0,0,0
1,03:41,00-0025399,M.Lynch,0,8,0,0,0,0,0
